email_id,predicted_category,top_driving_features
0,Account Management,account (0.35) | request (0.19) | transfer (0.18) | num_features__question_mark_count (0.13) | bool_features__is_department_greeting (-0.05)
1,Other,bool_features__is_internal_signature (0.78) | bool_features__is_department_greeting (0.20) | num_features__question_mark_count (0.14) | job (0.05) | response (0.05)
2,Other,bool_features__is_internal_signature (0.78) | bool_features__is_department_greeting (0.20) | num_features__question_mark_count (0.14) | maintenance (0.08) | notice (0.08)
3,Insurance Claims,insurance (0.29) | claim (0.29) | num_features__question_mark_count (0.18) | pet (0.10) | bool_features__is_internal_signature (0.05)
4,Investment Advisory,review (0.12) | num_features__question_mark_count (0.11) | bool_features__is_department_greeting (0.10) | allocation (0.08) | asset (0.08)
5,Account Management,account (0.33) | request (0.18) | verification (0.13) | num_features__question_mark_count (-0.11) | bool_features__is_department_greeting (-0.05)
6,Other,bool_features__is_internal_signature (0.78) | bool_features__is_department_greeting (0.20) | num_features__question_mark_count (0.14) | security (0.08) | alert (0.08)
7,Investment Advisory,investment (0.23) | review (0.13) | num_features__question_mark_count (0.11) | bool_features__is_department_greeting (0.10) | goal (0.08)
8,Insurance Claims,insurance (0.29) | claim (0.29) | num_features__question_mark_count (0.18) | submission (0.10) | bool_features__is_internal_signature (0.05)
9,Investment Advisory,investment (0.22) | bool_features__is_department_greeting (-0.14) | num_features__question_mark_count (0.11) | esg (0.10) | options (0.10)
10,Account Management,account (0.28) | setup (0.15) | num_features__question_mark_count (0.13) | bool_features__is_department_greeting (0.08) | alerts (0.07)
11,Insurance Claims,insurance (0.29) | claim (0.29) | num_features__question_mark_count (0.18) | disability (0.12) | bool_features__is_internal_signature (0.05)
12,Other,bool_features__is_internal_signature (0.78) | bool_features__is_department_greeting (0.20) | num_features__question_mark_count (0.14) | newsletter (0.07) | monthly (0.07)
13,Insurance Claims,insurance (0.29) | claim (0.29) | num_features__question_mark_count (0.18) | travel (0.10) | bool_features__is_internal_signature (0.05)
14,Account Management,account (0.33) | request (0.18) | closure (0.12) | num_features__question_mark_count (-0.11) | bool_features__is_department_greeting (-0.05)
15,Account Management,num_features__question_mark_count (0.13) | setup (0.13) | banking (0.10) | online (0.10) | account (-0.08)
16,Loan Processing,loan (0.28) | num_features__question_mark_count (0.16) | equity (0.12) | home (0.12) | bool_features__is_internal_sender (0.10)
17,Insurance Claims,insurance (0.29) | claim (0.29) | num_features__question_mark_count (0.18) | umbrella (0.10) | bool_features__is_internal_signature (0.05)
18,Other,bool_features__is_internal_signature (0.78) | bool_features__is_department_greeting (0.20) | num_features__question_mark_count (0.14) | regulatory (0.09) | update (0.06)
19,Account Management,account (0.30) | num_features__question_mark_count (0.13) | balance (0.13) | bool_features__is_department_greeting (-0.05) | bool_features__is_internal_signature (0.05)
20,Account Management,request (0.16) | transfer (0.15) | num_features__question_mark_count (0.13) | wire (0.12) | account (-0.08)
