feature,importance
num_features__question_mark_count,0.14655322295391277
bool_features__is_internal_signature,0.10555562325259825
bool_features__is_department_greeting,0.08794362828284179
account,0.05977370119334579
insurance,0.042677900694361975
claim,0.042677900694361975
request,0.03427469758621035
investment,0.024570973000465374
loan,0.02156692994193792
bool_features__is_internal_sender,0.018319994761924235
application,0.010153747570272069
statement,0.009168077592080316
market,0.00818350835513379
account,0.008065978587710626
business,0.008053822588133943
need,0.007442296356196961
investment,0.007151883398311698
transfer,0.006232324473010431
setup,0.00557868553171822
inquiry,0.005444424797696676
review,0.005142669116443392
update,0.004815190714657073
interested,0.0047815064015000845
file,0.004056896623600851
need file,0.004056896623600851
claim,0.004056896623600851
analysis,0.0033895522229106523
like,0.003366719599573859
portfolio,0.0032783885198947103
consolidation,0.003211544919508663
requirements,0.002817856483545453
rebalancing,0.002756967339344104
portfolio,0.002756967339344104
market,0.0027100892835494723
dispute,0.0026802207337698995
closure,0.0026139231264056947
file claim,0.0026080603247068536
student,0.0025567830022961064
refinancing,0.0025567830022961064
options,0.0025519040271153133
esg,0.0025519040271153133
travel,0.00254568038720337
pet,0.0025311661928340075
options,0.002494885669410067
submission,0.0024886592219633768
verification,0.0024738689722376577
small,0.0024665345249644615
balance,0.0024393957887881763
credit,0.0024384548264731838
card,0.0024384548264731838
assessment,0.0023317162123675742
risk,0.0023317162123675742
education,0.002325739434293819
wire,0.0022909627881323967
mortgage,0.002289513736135177
status,0.002289513736135177
beneficiary,0.0022895045707862346
business,0.0022873195151807656
application,0.0022708033536976324
life,0.0022337130032452014
disability,0.0021948079910926667
statement,0.002183657980616762
property,0.0021831748204667032
current,0.0021613588752394447
review,0.0021470061248097866
loan,0.0020525841928454897
order,0.002045555014022714
check,0.002045555014022714
alternative,0.0020396093720069742
investment options,0.0020308602055054653
accounts,0.002030271259042537
dividend,0.0020246600900732064
plan,0.0020246600900732064
reinvestment,0.0020246600900732064
regulatory,0.0019867105685730207
home,0.00197004516774239
equity,0.00197004516774239
umbrella,0.0019425122187593856
password,0.0018955120883838315
reset,0.0018955120883838315
concerns,0.001843054395208934
volatility,0.001843054395208934
discuss,0.001838875079268307
banking,0.0018033318144925416
online,0.0018033318144925416
allocation,0.001728940906639378
asset,0.001728940906639378
