feature,importance
account,0.13154979448974882
num_features__question_mark_count,0.12146356894817835
bool_features__is_internal_signature,0.0857755573603898
request,0.06912043225017625
bool_features__is_department_greeting,0.06328984723423557
insurance,0.03154468409782348
claim,0.03154468409782348
loan,0.026058464108567648
investment,0.023772390393380406
account,0.017077389562464247
statement,0.016402489916153604
transfer,0.014953406207730335
bool_features__is_internal_sender,0.013600690720453168
setup,0.012599076406109817
market,0.012391007892632916
business,0.010794146943673269
application,0.0104085886817699
need,0.008824725461253045
investment,0.007922980390156856
consolidation,0.007887649695606567
interested,0.007572899374052398
verification,0.006026634780684778
balance,0.005922016740010242
beneficiary,0.0058783540204569084
wire,0.005584075531832177
closure,0.00554882213337496
analysis,0.005533477664610061
review,0.004860286276122126
dispute,0.00481012506860873
like,0.004742132849846683
check,0.004454273765597012
order,0.004454273765597012
online,0.004444496176298185
banking,0.004444496176298185
statement,0.004324233120274839
portfolio,0.004239866197896386
password,0.004192195129944125
reset,0.004192195129944125
market,0.004011625928727094
requirements,0.0040111755627538674
current,0.0036708210734607764
small,0.003574565324797657
risk,0.0035213106203062245
assessment,0.0035213106203062245
portfolio,0.003458809956343468
rebalancing,0.003458809956343468
education,0.003433088852912609
alerts,0.0033944572887650943
business,0.0031358543229925927
need file,0.002993580719105765
file,0.002993580719105765
claim,0.002993580719105765
accounts,0.002972449230857117
forms,0.0028484006750867123
online banking,0.0027579495407663076
online,0.0027579495407663076
banking,0.0027579495407663076
access,0.0026278073912203675
review,0.0026094953210514613
student,0.0025271820693112206
refinancing,0.0025271820693112206
travel,0.002517203330646353
checking,0.0025062828812368546
checking account,0.0025062828812368546
concerns,0.002437173826935466
volatility,0.002437173826935466
card,0.002423315705219233
credit,0.002423315705219233
redrock,0.002340414991566036
home,0.002326102706061777
equity,0.002326102706061777
mortgage,0.0023252839394782726
status,0.0023252839394782726
balance,0.00226371367269787
account balance,0.00226371367269787
account statement,0.002241616770406756
investment options,0.0020898439572107973
submission,0.0020644538642612164
pet,0.0020424050671055036
reinvestment,0.002031102050388499
plan,0.002031102050388499
dividend,0.002031102050388499
file claim,0.0020054376585107382
like set,0.0019965207042712922
set,0.0019965207042712922
alternative,0.001980643364446377
discuss,0.0019781979527535255
alert,0.0018885241889441981
security,0.0018885241889441981
disability,0.0018172214515875793
esg,0.0018110055434432221
options,0.0018110055434432221
allocation,0.0017979749809384814
asset,0.0017979749809384814
institution,0.001795948636879785
fees,0.0017857587419271028
transfer,0.0017857587419271028
application,0.001771627436122137
notice,0.0016516602160749772
maintenance,0.0016516602160749772
inquiry,0.001624627336101145
alerts,0.0015887738228211557
investment portfolio,0.0015682204355504765
affect,0.001534912658282546
detailed,0.001534912658282546
process,0.0014573972459196788
consultation,0.0014461238780492487
strategy,0.0014461238780492487
interested applying,0.0014429543681330828
applying,0.0014429543681330828
options available,0.0014264573722165012
business loan,0.0014251733689157468
requirements application,0.0014251733689157468
application process,0.0014251733689157468
rebalancing,0.001421162375505911
recent market,0.001421162375505911
regulatory,0.0014093545809886244
schedule,0.0013367190908745435
loan,0.0013160258190777043
monthly,0.0012932326045740278
newsletter,0.0012932326045740278
recent,0.0012652153180400744
financial,0.0012490461199933514
risk tolerance,0.0012463563524392344
tolerance,0.0012463563524392344
risk,0.0012463563524392344
goal,0.0012323044487043545
umbrella,0.0012231957333085103
information,0.0011677220660190177
update,0.0011369918030188306
property,0.0011323062958814327
options,0.0011272822368329387
complete,0.0011213700564613864
life,0.0011178415565174587
february,0.001111642557111772
strategies,0.0011004225973128363
customer,0.0010698523781777056
provide,0.0010471743217368697
