feature,importance
num_features__question_mark_count,0.192303863708589
insurance,0.09231497920970778
claim,0.09231497920970778
bool_features__is_internal_signature,0.08183751463677064
bool_features__is_department_greeting,0.03765057959744007
bool_features__is_internal_sender,0.032817805987131146
account,0.031041715747341544
request,0.02669457221069876
investment,0.022744522819826484
inquiry,0.010997646430978796
statement,0.009878289510935721
need file,0.008807186353723673
file,0.008807186353723673
claim,0.008807186353723673
need,0.006484525041140853
disability,0.005448675016708399
life,0.005435631105100826
property,0.005366855338197231
file claim,0.005359161376902774
loan,0.005000843195736663
investment,0.0049955115905818675
umbrella,0.004742328078139771
pet,0.004717730405261134
submission,0.004632315317802382
travel,0.004524418021065458
like,0.0044610508861494735
account,0.004458504576289893
update,0.004416709663386597
review,0.0041213630877695116
interested,0.003569024058766097
insurance,0.0032958588520143914
options,0.003196877225214641
new,0.00305997802945827
business,0.0028867748644820974
dispute,0.002849313790143866
february,0.002716277779429706
occurred,0.002674925459804391
closure,0.0026098032337372595
options,0.0024896729757308955
esg,0.0024896729757308955
tax,0.0022306459567960697
application,0.00218534683752912
education,0.0021492311175349606
alternative,0.0020263812803974868
strategy,0.001983917920722876
consultation,0.001983917920722876
investment options,0.001957446398329966
asset,0.0018707302947039916
allocation,0.0018707302947039916
insurance claim,0.0018020916328447744
trip,0.0017500201514214365
damage,0.001744490881260854
statement,0.0016475651068176354
harvesting,0.001606947360003095
loss,0.001606947360003095
tax,0.001606947360003095
setup,0.0016035309948010433
maintenance,0.0015934403658077
notice,0.0015934403658077
regulatory,0.00154660581170424
incident occurred,0.0014528454586176776
incident,0.0014528454586176776
discuss,0.0014366457598994123
newsletter,0.001421519551107646
monthly,0.001421519551107646
security,0.0014020496792460848
alert,0.0014020496792460848
account statement,0.0013475483238530302
emergency,0.0013451573663576279
occurred january,0.0013130561704073754
review,0.0011945984666313079
portfolio,0.0011730879286932937
january,0.0011519084883359317
application,0.0011361147617244963
verification,0.00109999102138531
current,0.0010767694102042967
interested learning,0.0010266549871184492
learning,0.0010266549871184492
strategies,0.000997439684522877
market,0.0009907642360768966
survey,0.0009765614801266425
satisfaction,0.0009765614801266425
customer,0.0009765614801266425
financial,0.0009507260102391322
unauthorized,0.0009312505519607929
transfer,0.0008937461129286135
accounts,0.0008746869628954969
activity,0.0008657861914946864
process,0.0008222805580401859
small,0.0008118781448121914
business,0.0008009765845351155
loan,0.0007996080828863741
