feature,importance
num_features__question_mark_count,0.11702708761656912
bool_features__is_department_greeting,0.11228486116091317
bool_features__is_internal_signature,0.09281915040200558
account,0.07190710704047165
investment,0.05258450777247994
claim,0.04862667861025578
insurance,0.04862667861025578
loan,0.019532215761718805
market,0.01905454950899955
request,0.017113082627387158
investment,0.01572294019489735
need,0.012708680321230154
application,0.012593493456864125
bool_features__is_internal_sender,0.011712338693889969
review,0.011429739302221758
account,0.009626797980141565
transfer,0.00871205374847637
statement,0.008204637117716058
analysis,0.007664121536774274
portfolio,0.007594002601593957
inquiry,0.007154385754439893
rebalancing,0.006697320670753833
portfolio,0.006697320670753833
market,0.005783735224497982
assessment,0.005751639600526045
risk,0.005751639600526045
education,0.005381909860037667
setup,0.005319822188931291
reinvestment,0.004969283526698518
dividend,0.004969283526698518
plan,0.004969283526698518
business,0.004892170300331127
options,0.004814615578192132
claim,0.004664539120356076
file,0.004664539120356076
need file,0.004664539120356076
esg,0.004629501528733511
options,0.004629501528733511
alternative,0.00453695674595437
concerns,0.004492381073847445
volatility,0.004492381073847445
review,0.004410001713193992
closure,0.004354918958973147
investment options,0.004240480236285899
consolidation,0.004223709600488069
discuss,0.004133128146075228
allocation,0.003638382333944721
asset,0.003638382333944721
requirements,0.003569845039986467
consultation,0.0035636670784365914
strategy,0.0035636670784365914
balance,0.0035627954549952543
goal,0.0035432835408084535
life,0.0034267121150767564
property,0.003425023146006004
interested,0.00334781950990837
application,0.0033319292685558225
verification,0.0032995665024770694
beneficiary,0.0032760675379975013
umbrella,0.0032461617520358173
student,0.003196468523450756
refinancing,0.003196468523450756
wire,0.0031441375857949577
disability,0.0030528214672721214
harvesting,0.003049639542932261
tax,0.003049639542932261
loss,0.003049639542932261
accounts,0.002890775240945999
forms,0.0028664372356738115
credit,0.002832942155523212
card,0.002832942155523212
mortgage,0.002762786298839344
status,0.002762786298839344
rebalancing,0.002691647189884378
recent market,0.002691647189884378
investment portfolio,0.002668880005624945
file claim,0.002667048933358992
plan,0.002634425062119186
online,0.0026202629220472996
banking,0.0026202629220472996
financial,0.002538803047588304
schedule,0.0025103324665765744
loan,0.0024451249714137163
regulatory,0.002404207680810073
process,0.002394033794322465
equity,0.002295754091498484
home,0.002295754091498484
statement,0.002292488136431979
update,0.0021950604740923053
risk tolerance,0.002190322651894533
risk,0.002190322651894533
tolerance,0.002190322651894533
strategies,0.0021822673890894667
like,0.002112937592603617
investment strategy,0.002109898595016366
strategy,0.002109898595016366
check,0.0021077978245916014
order,0.0021077978245916014
recent,0.002075931677415845
learning,0.00206821888281815
interested learning,0.00206821888281815
insurance,0.0020541680793084785
online,0.0019873449722934405
online banking,0.0019873449722934405
banking,0.0019873449722934405
pet,0.0019870837073598093
tax,0.0019727487217259345
dispute,0.0019122216665782275
submission,0.001908476959654593
like review,0.0017771602401791848
goals,0.0017771602401791848
reset,0.0016625260029531895
password,0.0016625260029531895
checking account,0.0015722115507348102
