feature,importance
num_features__question_mark_count,0.1498484827701896
bool_features__is_department_greeting,0.06173540290669491
bool_features__is_internal_signature,0.05345175917431397
loan,0.05240891390837685
account,0.04122458470193298
request,0.03798806741262611
bool_features__is_internal_sender,0.030843656572652846
application,0.02108685048504961
business,0.01814057316938841
insurance,0.017861632538822322
claim,0.017861632538822322
investment,0.01115929418707814
update,0.009245712000183379
interested,0.007435174989540772
market,0.007027368488592514
setup,0.0067834716117121
account,0.006612762354575005
transfer,0.0066024162959167935
refinancing,0.006601545317528209
student,0.006601545317528209
credit,0.006396400858008373
card,0.006396400858008373
requirements,0.00607615562692554
status,0.006044298843631362
mortgage,0.006044298843631362
small,0.00561969975124986
equity,0.005228369041151715
home,0.005228369041151715
business,0.005168739818878145
current,0.005168176221408225
application,0.005087743842868439
loan,0.004820109214294757
investment,0.004246086270440977
need,0.00393419750900687
consolidation,0.003727807286744661
like,0.0036295787972375313
applying,0.003200111183900367
interested applying,0.003200111183900367
plan,0.0029742576212742015
dividend,0.0029742576212742015
reinvestment,0.0029742576212742015
recent,0.002869204007372158
rebalancing,0.0028658814904856107
portfolio,0.0028658814904856107
process,0.0028098456014111726
portfolio,0.0027962782256919978
password,0.0027320512986617855
reset,0.0027320512986617855
balance,0.0027121667489353823
review,0.002698855866894187
alerts,0.002642333300754825
analysis,0.0025938471708188875
order,0.0025903925600142745
check,0.0025903925600142745
market,0.002536356223076965
application process,0.002405506698367687
business loan,0.002405506698367687
requirements application,0.002405506698367687
wire,0.0022113218179644263
financial,0.00215385683592239
statement,0.0021255903709722673
review,0.0021128464112363816
assessment,0.0020026761279662675
risk,0.0020026761279662675
inquiry,0.001909775310588871
beneficiary,0.0018826634426211887
volatility,0.0018618181288880674
concerns,0.0018618181288880674
provide,0.001804093224616493
job,0.0017782843389753155
response,0.0017782843389753155
accounts,0.0017067284866477612
online,0.0016859574855266459
online banking,0.0016859574855266459
banking,0.0016859574855266459
need file,0.0016776577278292805
file,0.0016776577278292805
claim,0.0016776577278292805
banking,0.0016751694491914453
online,0.0016751694491914453
options,0.0015686799685697553
travel,0.0014983383457973702
options,0.0014759704701083358
esg,0.0014759704701083358
pet,0.001422615686947049
submission,0.0013407939440385952
access,0.0013171392071222845
plan,0.0013168553113494282
student,0.0012966007787542518
loans,0.0012966007787542518
refinancing,0.0012966007787542518
better,0.0012966007787542518
better rate,0.0012966007787542518
interested refinancing,0.0012966007787542518
loans better,0.0012966007787542518
rate,0.0012966007787542518
refinancing student,0.0012966007787542518
rate options,0.0012966007787542518
student loans,0.0012966007787542518
alerts,0.0012367426137022204
file claim,0.0011964255704607475
goal,0.0011956124422851974
dispute,0.0011484200845414702
card travel,0.0011439869759535574
rewards current,0.0011439869759535574
rewards,0.0011439869759535574
credit,0.0011439869759535574
credit card,0.0011439869759535574
card,0.0011439869759535574
current offers,0.0011439869759535574
travel,0.0011439869759535574
applying credit,0.0011439869759535574
offers requirements,0.0011439869759535574
travel rewards,0.0011439869759535574
offers,0.0011439869759535574
discuss,0.0011416790547637103
rebalancing,0.0011357327252644101
recent market,0.0011357327252644101
statement,0.0011134779937212408
alternative,0.001046505554824092
like set,0.0010248862564923961
set,0.0010248862564923961
options available,0.0010234377115575838
verification,0.0010150313646551416
update,0.0010052283058496923
home,0.0009709481320623349
equity,0.0009669764619000952
submitted,0.0009393521660074959
status expect,0.0009393521660074959
mortgage application,0.0009393521660074959
status,0.0009393521660074959
expect,0.0009393521660074959
application week,0.0009393521660074959
submitted mortgage,0.0009393521660074959
week,0.0009393521660074959
current status,0.0009393521660074959
week like,0.0009393521660074959
expect decision,0.0009393521660074959
mortgage,0.0009393521660074959
like know,0.0009393521660074959
know current,0.0009393521660074959
decision,0.0009393521660074959
know,0.0009393521660074959
activity,0.0009234466510492998
life,0.0008965271738232514
help,0.0008634442217754432
restaurant,0.0008633388878890459
expand restaurant,0.0008633388878890459
loan expand,0.0008633388878890459
restaurant requirements,0.0008633388878890459
expand,0.0008633388878890459
applying business,0.0008633388878890459
investment portfolio,0.0008443213212907312
tax,0.0008419751408345235
loss,0.0008419751408345235
harvesting,0.0008419751408345235
investment options,0.0008158565326302734
property,0.0008000259306298585
transfer,0.0007913508032901923
fees,0.0007913508032901923
tax,0.0007798433171870446
redrock,0.0007726905750573546
checking,0.0007367847231002163
checking account,0.0007367847231002163
balance,0.0007308712929805949
account balance,0.0007308712929805949
terms,0.0007122699274130372
loan fund,0.0007122699274130372
rates,0.0007122699274130372
rates terms,0.0007122699274130372
daughter,0.0007122699274130372
home equity,0.0007122699274130372
fund,0.0007122699274130372
fund daughter,0.0007122699274130372
interested home,0.0007122699274130372
daughter college,0.0007122699274130372
education current,0.0007122699274130372
education,0.0007122699274130372
equity loan,0.0007122699274130372
college education,0.0007122699274130372
current rates,0.0007122699274130372
college,0.0007122699274130372
detailed,0.0007081379057625771
affect,0.0007081379057625771
schedule,0.0006923689546159009
forms,0.0006755752488466145
newsletter,0.0006707987012116508
monthly,0.0006707987012116508
small,0.0006570286033117525
initial capital,0.0006570286033117525
need small,0.0006570286033117525
business need,0.0006570286033117525
initial,0.0006570286033117525
capital,0.0006570286033117525
capital requirements,0.0006570286033117525
loan initial,0.0006570286033117525
starting,0.0006570286033117525
small business,0.0006570286033117525
new business,0.0006570286033117525
starting new,0.0006570286033117525
investment strategy,0.0006345176187072856
strategy,0.0006345176187072856
customer,0.000631702837733496
new,0.0006311739231086998
february,0.0006215578408737855
risk,0.0006005650851882808
risk tolerance,0.0006005650851882808
tolerance,0.0006005650851882808
recent transactions,0.0005952742359262551
transactions,0.0005952742359262551
regulatory,0.000592528219028281
interested setting,0.0005920398679364384
setting,0.0005920398679364384
reinvestment plan,0.0005920398679364384
stock,0.0005920398679364384
stock holdings,0.0005920398679364384
dividend reinvestment,0.0005920398679364384
holdings,0.0005920398679364384
holdings options,0.0005920398679364384
reinvestment,0.0005920398679364384
plan stock,0.0005920398679364384
dividend,0.0005920398679364384
setting dividend,0.0005920398679364384
trip,0.0005795490793698527
complete,0.0005787625780079507
interested learning,0.0005765932958122232
learning,0.0005765932958122232
consultation,0.0005730527592760536
strategy,0.0005730527592760536
information,0.0005528165312574206
institution,0.0005448746536736473
asset,0.0005310237913659656
allocation,0.0005310237913659656
unable,0.0004975093193113132
unable access,0.0004975093193113132
banking account,0.0004975093193113132
reset,0.0004975093193113132
reset password,0.0004975093193113132
password,0.0004975093193113132
account help,0.0004975093193113132
