feature,importance
bool_features__is_internal_signature,0.2138941346895118
bool_features__is_department_greeting,0.1647574505149249
num_features__question_mark_count,0.1521231117260381
account,0.023145303987233853
claim,0.0230415290152006
insurance,0.0230415290152006
request,0.020457333430163538
investment,0.012594149829561934
statement,0.009229381044623943
update,0.007081479632604256
inquiry,0.005535689156374681
need,0.005259353448353906
loan,0.004834212735289628
application,0.004494458390147613
regulatory,0.003980856550333883
business,0.003555447662794857
alert,0.0034805354139560876
security,0.0034805354139560876
maintenance,0.003443314142278348
notice,0.003443314142278348
newsletter,0.0033191801281124314
monthly,0.0033191801281124314
investment,0.002871898545481459
travel,0.002868116393206326
dispute,0.002681023058977193
bool_features__is_internal_sender,0.0026254818354941004
review,0.002603101049209385
account,0.0025544384650824183
submission,0.00249725602406012
pet,0.0024859960974965294
job,0.0024142659751602066
response,0.0024142659751602066
options,0.0023533696175605896
esg,0.0023533696175605896
customer,0.002207582865993101
survey,0.002207582865993101
satisfaction,0.002207582865993101
need file,0.0021415191969894657
claim,0.0021415191969894657
file,0.0021415191969894657
interested,0.001982614075232787
like,0.0018878978720319863
file claim,0.001812228084301015
options,0.001766973338240875
accounts,0.0017067163738663101
setup,0.0015875264570368746
statement,0.0015405255458381063
market,0.001453851649367066
activity,0.0013531454382399862
tax,0.0012715396355190702
services,0.0012696089239552873
account statement,0.0012600003535864492
trip,0.001109371738279667
regulatory,0.0010801149007879014
january,0.0010651840965061872
alerts,0.0010633595488794953
investment options,0.001050673903070395
february,0.0010377723622931882
small,0.001037142416652098
business,0.000996236414960406
analysis,0.0009738212721784979
verification,0.0009281211919860092
password,0.0008907880103600582
reset,0.0008907880103600582
loan,0.0008820528765548914
2025,0.0008647739826473603
goal,0.00083109058760405
new,0.0008089677360648416
asset,0.00080659313224372
allocation,0.00080659313224372
consultation,0.0007836569199278168
strategy,0.0007836569199278168
emergency,0.0007811878203970225
process,0.0007661629671170835
check,0.0007357609195635201
order,0.0007357609195635201
financial,0.0007224801387854318
current,0.0007155292403290183
interested learning,0.0006997122853391979
learning,0.0006997122853391979
information,0.0006819551136360958
complete,0.0006322686001686088
customer,0.0006161402224699772
alternative,0.0006075599144125445
