predicted_class,confidence,decision
Account Management,0.7864568629431675,AUTO_FORWARD
Other,0.5880608944205681,AUTO_FORWARD
Other,0.664110707671029,AUTO_FORWARD
Insurance Claims,0.7501667848707543,AUTO_FORWARD
Investment Advisory,0.6564015042858363,AUTO_FORWARD
Account Management,0.6782198099916684,AUTO_FORWARD
Other,0.6190488220438938,AUTO_FORWARD
Investment Advisory,0.7361605283729382,AUTO_FORWARD
Insurance Claims,0.7496019070281125,AUTO_FORWARD
Investment Advisory,0.5937858770607876,AUTO_FORWARD
Account Management,0.7219792759946779,AUTO_FORWARD
Insurance Claims,0.7798415186485018,AUTO_FORWARD
Other,0.6992068656392777,AUTO_FORWARD
Insurance Claims,0.7415196130944927,AUTO_FORWARD
Account Management,0.6946571476704646,AUTO_FORWARD
Account Management,0.5214002348342258,DEFER_TO_HUMAN
Loan Processing,0.6549216349159593,AUTO_FORWARD
Insurance Claims,0.8565341095663417,AUTO_FORWARD
Other,0.6179092383370737,AUTO_FORWARD
Account Management,0.6096427763637359,AUTO_FORWARD
Account Management,0.6902020328620034,AUTO_FORWARD
Account Management,0.6553305974700292,AUTO_FORWARD
Account Management,0.6743639463365283,AUTO_FORWARD
Insurance Claims,0.8135406005847576,AUTO_FORWARD
Investment Advisory,0.6735686257634529,AUTO_FORWARD
Investment Advisory,0.724950775478189,AUTO_FORWARD
Account Management,0.4671742829850669,DEFER_TO_HUMAN
Loan Processing,0.4384815120632412,DEFER_TO_HUMAN
Other,0.6647995488160553,AUTO_FORWARD
Loan Processing,0.5105120420336758,DEFER_TO_HUMAN
Investment Advisory,0.7450830928866549,AUTO_FORWARD
Insurance Claims,0.8271824512679893,AUTO_FORWARD
Loan Processing,0.3385154053451928,DEFER_TO_HUMAN
Account Management,0.5674406316558158,DEFER_TO_HUMAN
Investment Advisory,0.63653176540095,AUTO_FORWARD
Loan Processing,0.37659231932534376,DEFER_TO_HUMAN
Loan Processing,0.4464322202773933,DEFER_TO_HUMAN
Loan Processing,0.4540701867470438,DEFER_TO_HUMAN
Account Management,0.5555915912855706,DEFER_TO_HUMAN
Investment Advisory,0.6355886587138116,AUTO_FORWARD
Account Management,0.6791058902519705,AUTO_FORWARD
Investment Advisory,0.44657693363429934,DEFER_TO_HUMAN
Account Management,0.7987955943711045,AUTO_FORWARD
Account Management,0.5997583659726801,AUTO_FORWARD
